"pop","Cntrl_values","X","values","conc","experiment","viability","mean_value"
"C6",1.228,64,1.228,"0","EXP_1",100,100
"C6",1.228,74,1.057,"4","EXP_1",86.0749185667752,99.5383195443757
"C6",1.228,84,0.493,"25.6","EXP_1",40.1465798045603,92.5054484259347
"C6",1.228,94,0.332,"160","EXP_1",27.0358306188925,54.4923030545079
"C6",1.228,104,0.153,"400","EXP_1",12.4592833876221,32.654129740229
"C6",1.228,114,0.217,"1000","EXP_1",17.671009771987,40.4606103967734
"C67",1.187,67,1.187,"0","EXP_1",100,100
"C67",1.187,77,1.276,"4","EXP_1",108.390999610193,108.390999610193
"C67",1.187,87,1.08,"25.6","EXP_1",90.9856781802864,111.461651507423
"C67",1.187,97,0.207,"160","EXP_1",17.4389216512216,67.902088609908
"C67",1.187,107,0.172,"400","EXP_1",14.4903117101938,50.9993393919095
"C67",1.187,117,0.272,"1000","EXP_1",22.9149115417018,52.8910132117775
"C7",1.089,63,1.089,"0","EXP_1",100,100
"C7",1.089,73,1.049,"4","EXP_1",96.3269054178145,109.659111925796
"C7",1.089,83,0.678,"25.6","EXP_1",62.2589531680441,100.395249714826
"C7",1.089,93,0.239,"160","EXP_1",21.9467401285583,63.5224735816521
"C7",1.089,103,0.136,"400","EXP_1",12.4885215794307,43.1907428413261
"C7",1.089,113,0.275,"1000","EXP_1",25.2525252525253,55.852634209666
"C73",1.19,68,1.19,"0","EXP_1",100,100
"C73",1.19,78,1.233,"4","EXP_1",97.1033929073668,97.1033929073668
"C73",1.19,88,0.926,"25.6","EXP_1",77.8151260504202,106.342824507057
"C73",1.19,98,0.317,"160","EXP_1",26.6386554621849,65.624145289373
"C73",1.19,108,0.181,"400","EXP_1",15.2100840336134,43.6430796115441
"C73",1.19,118,0.275,"1000","EXP_1",23.109243697479,45.6317834061689
"C85",1.003,69,1.003,"0","EXP_1",100,100
"C85",1.003,79,0.98,"4","EXP_1",97.7068793619143,113.341558591356
"C85",1.003,89,0.605,"25.6","EXP_1",60.3190428713858,108.06130619974
"C85",1.003,99,0.298,"160","EXP_1",29.7108673978066,72.5028549060551
"C85",1.003,109,0.196,"400","EXP_1",19.5413758723829,54.177363690308
"C85",1.003,119,0.28,"1000","EXP_1",27.9162512462612,59.0986712461663
"C89",1.187,70,1.187,"0","EXP_1",100,100
"C89",1.187,80,1.207,"4","EXP_1",110.350227708223,110.350227708223
"C89",1.187,90,1.308,"25.6","EXP_1",109.774028165434,109.774028165434
"C89",1.187,100,0.209,"160","EXP_1",17.6074136478517,67.1415157680235
"C89",1.187,110,0.273,"400","EXP_1",22.9991575400168,53.9429701364227
"C89",1.187,120,0.331,"1000","EXP_1",27.8854254422915,61.3212238446092
"GSH1",1.025,62,1.025,"0","EXP_1",100,100
"GSH1",1.025,72,0.998,"4","EXP_1",97.3658536585366,107.160433403251
"GSH1",1.025,82,1.278,"25.6","EXP_1",137.053147346263,137.053147346263
"GSH1",1.025,92,0.301,"160","EXP_1",29.3658536585366,83.5889327853766
"GSH1",1.025,102,0.162,"400","EXP_1",15.8048780487805,46.0638512760718
"GSH1",1.025,112,0.235,"1000","EXP_1",22.9268292682927,56.1919530796583
"REF",1.133,61,1.133,"0","EXP_1",100,100
"REF",1.133,71,1.225,"4","EXP_1",130.451166815056,130.451166815056
"REF",1.133,81,1.361,"25.6","EXP_1",135.272838433212,135.272838433212
"REF",1.133,91,0.181,"160","EXP_1",15.9752868490733,86.5048392886887
"REF",1.133,101,0.155,"400","EXP_1",13.6804942630185,43.1963141997652
"REF",1.133,111,0.182,"1000","EXP_1",16.0635481023831,50.5731269420774
"C44",0.718,125,0.718,"0","EXP_2",100,100
"C44",0.718,135,0.657,"4","EXP_2",91.5041782729805,103.639971902657
"C44",0.718,145,0.683,"25.6","EXP_2",95.1253481894151,86.2375950695492
"C44",0.718,155,0.606,"160","EXP_2",84.4011142061281,55.109878756691
"C44",0.718,165,0.263,"400","EXP_2",36.6295264623955,36.2365142696512
"C44",0.718,175,0.301,"1000","EXP_2",41.9220055710306,42.5182305529804
"C58",0.648,126,0.648,"0","EXP_2",100,100
"C58",0.648,136,0.628,"4","EXP_2",96.9135802469136,100.985033256516
"C58",0.648,146,0.709,"25.6","EXP_2",101.182583238816,101.182583238816
"C58",0.648,156,0.727,"160","EXP_2",65.9231505977377,65.9231505977377
"C58",0.648,166,0.394,"400","EXP_2",60.8024691358025,44.0219223928168
"C58",0.648,176,0.405,"1000","EXP_2",62.5,48.7156212285475
"C6",0.708,124,0.708,"0","EXP_2",100,100
"C6",0.708,134,0.676,"4","EXP_2",95.4802259887006,99.5383195443757
"C6",0.708,144,0.788,"25.6","EXP_2",92.5054484259347,92.5054484259347
"C6",0.708,154,0.667,"160","EXP_2",94.2090395480226,54.4923030545079
"C6",0.708,164,0.276,"400","EXP_2",38.9830508474576,32.654129740229
"C6",0.708,174,0.373,"1000","EXP_2",52.683615819209,40.4606103967734
"C67",0.488,127,0.488,"0","EXP_2",100,100
"C67",0.488,137,0.479,"4","EXP_2",98.155737704918,108.390999610193
"C67",0.488,147,0.63,"25.6","EXP_2",111.461651507423,111.461651507423
"C67",0.488,157,0.576,"160","EXP_2",67.902088609908,67.902088609908
"C67",0.488,167,0.388,"400","EXP_2",79.5081967213115,50.9993393919095
"C67",0.488,177,0.292,"1000","EXP_2",59.8360655737705,52.8910132117775
"C7",0.435,123,0.435,"0","EXP_2",100,100
"C7",0.435,133,0.508,"4","EXP_2",109.659111925796,109.659111925796
"C7",0.435,143,0.55,"25.6","EXP_2",100.395249714826,100.395249714826
"C7",0.435,153,0.522,"160","EXP_2",63.5224735816521,63.5224735816521
"C7",0.435,163,0.272,"400","EXP_2",62.5287356321839,43.1907428413261
"C7",0.435,173,0.391,"1000","EXP_2",89.8850574712644,55.852634209666
"C73",0.616,128,0.616,"0","EXP_2",100,100
"C73",0.616,138,0.615,"4","EXP_2",99.8376623376623,97.1033929073668
"C73",0.616,148,0.712,"25.6","EXP_2",106.342824507057,106.342824507057
"C73",0.616,158,0.659,"160","EXP_2",65.624145289373,65.624145289373
"C73",0.616,168,0.408,"400","EXP_2",66.2337662337662,43.6430796115441
"C73",0.616,178,0.395,"1000","EXP_2",64.1233766233766,45.6317834061689
"C85",0.748,129,0.748,"0","EXP_2",100,100
"C85",0.748,139,0.821,"4","EXP_2",113.341558591356,113.341558591356
"C85",0.748,149,0.936,"25.6","EXP_2",108.06130619974,108.06130619974
"C85",0.748,159,0.763,"160","EXP_2",72.5028549060551,72.5028549060551
"C85",0.748,169,0.435,"400","EXP_2",58.1550802139037,54.177363690308
