"pop","Cntrl_values","X","values","conc","experiment","viability","mean_value","viability_res"
"GSH1",1.025,82,1.278,25.6,"EXP_1",137.053147346263,137.053147346263,100
"GSH1",1.025,92,0.301,160,"EXP_1",29.3658536585366,83.5889327853766,11.1844694265155
"GSH1",1.025,102,0.162,400,"EXP_1",15.8048780487805,46.0638512760718,0
"GSH1",1.025,112,0.235,1000,"EXP_1",22.9268292682927,56.1919530796583,5.87385804414123
"REF",1.133,61,1.133,0,"EXP_1",100,100,70.9909051643577
"REF",1.133,71,1.225,4,"EXP_1",130.451166815056,130.451166815056,96.0345598638948
"REF",1.133,81,1.361,25.6,"EXP_1",135.272838433212,135.272838433212,100
"REF",1.133,91,0.181,160,"EXP_1",15.9752868490733,86.5048392886887,1.88728377737563
"REF",1.133,101,0.155,400,"EXP_1",13.6804942630185,43.1963141997652,0
"REF",1.133,111,0.182,1000,"EXP_1",16.0635481023831,50.5731269420774,1.95987161496699
"C6",1.228,64,1.228,0,"EXP_1",100,100,100
"C6",1.228,74,1.057,4,"EXP_1",86.0749185667752,99.5383195443757,84.0930232558139
"C6",1.228,84,0.493,25.6,"EXP_1",40.1465798045603,92.5054484259347,31.6279069767443
"C6",1.228,94,0.332,160,"EXP_1",27.0358306188925,54.4923030545079,16.6511627906977
"C6",1.228,104,0.153,400,"EXP_1",12.4592833876221,32.654129740229,0
"C6",1.228,114,0.217,1000,"EXP_1",17.671009771987,40.4606103967734,5.95348837209311
"C7",1.089,63,1.089,0,"EXP_1",100,100,100
"C7",1.089,73,1.049,4,"EXP_1",96.3269054178145,109.659111925796,95.8027282266527
"C7",1.089,83,0.678,25.6,"EXP_1",62.2589531680441,100.395249714826,56.8730325288563
"C7",1.089,93,0.239,160,"EXP_1",21.9467401285583,63.5224735816521,10.8079748163693
"C7",1.089,103,0.136,400,"EXP_1",12.4885215794307,43.1907428413261,0
"C7",1.089,113,0.275,1000,"EXP_1",25.2525252525253,55.852634209666,14.585519412382
"C44",1.194,65,1.194,0,"EXP_1",100,100,95.8900372074105
"C44",1.194,75,1.381,4,"EXP_1",103.639971902657,103.639971902657,100
"C44",1.194,85,1.005,25.6,"EXP_1",84.1708542713568,86.2375950695492,78.017042106621
"C44",1.194,95,0.391,160,"EXP_1",32.7470686767169,55.109878756691,19.9534495569661
"C44",1.194,105,0.18,400,"EXP_1",15.0753768844221,36.2365142696512,0
"C44",1.194,115,0.215,1000,"EXP_1",18.0067001675042,42.5182305529804,3.30981390755364
"C58",1.085,66,1.085,0,"EXP_1",100,100,98.6126083845886
"C58",1.085,76,1.091,4,"EXP_1",100.985033256516,100.985033256516,99.7682368732521
"C58",1.085,86,1.214,25.6,"EXP_1",101.182583238816,101.182583238816,100
"C58",1.085,96,0.336,160,"EXP_1",30.9677419354839,65.9231505977377,17.6248411915438
"C58",1.085,106,0.173,400,"EXP_1",15.9447004608295,44.0219223928168,0
"C58",1.085,116,0.231,1000,"EXP_1",21.2903225806452,48.7156212285475,6.27141588410764
"C67",1.187,67,1.187,0,"EXP_1",100,100,91.0639636430256
"C67",1.187,77,1.276,4,"EXP_1",108.390999610193,108.390999610193,100
