,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,1.625,1.432,1.139,1.423,1.52,1.577,1.363,1.351,0.499,1.348,
C,,1.808,1.621,1.16,1.406,1.349,1.452,1.2,1.188,0.454,1.13,
D,,1.403,1.312,1.016,1.213,1.028,1.297,1.144,1.324,0.453,1.072,
E,,0.538,0.684,0.492,0.479,0.415,0.471,0.448,0.502,1.274,0.45,
F,,0.33,0.36,0.343,0.319,0.288,0.305,0.31,0.303,0.406,0.32,
G,,0.358,0.356,0.355,0.35,0.356,0.326,0.317,0.338,0.422,0.333,
H,,,,,,,,,,,,
