,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,1.724,1.743,1.527,1.46,
C,,,,,,,,1.691,1.688,1.46,1.656,
D,,,,,,,,1.729,1.011,0.917,1.201,
E,,,,,,,,1.197,0.897,0.839,1.165,
F,,,,,,,,0.571,0.394,0.427,0.456,
G,,,,,,,,0.279,0.263,0.29,0.341,
H,,,,,,,,,,,,
