,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,1.193,1.363,0.808,1.561,
C,,,,,,,,1.078,1.463,0.98,1.522,
D,,,,,,,,1.04,1.585,1.11,1.103,
E,,,,,,,,0.688,1.005,0.62,0.63,
F,,,,,,,,0.472,0.444,0.401,0.419,
G,,,,,,,,0.465,0.41,0.446,0.447,
H,,,,,,,,,,,,
