,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,1.112,0.948,0.736,0.698,
C,,,,,,,,0.85,0.716,0.721,0.65,
D,,,,,,,,0.85,0.439,0.434,0.519,
E,,,,,,,,0.468,0.397,0.398,0.41,
F,,,,,,,,0.354,0.359,0.301,0.325,
G,,,,,,,,0.467,0.407,0.373,0.421,
H,,,,,,,,,,,,
