,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,1.133,1.025,1.089,1.228,1.194,1.085,1.187,1.19,1.003,1.187,
C,,1.225,0.998,1.049,1.057,1.381,1.091,1.276,1.233,0.98,1.207,
D,,1.361,1.278,0.678,0.493,1.005,1.214,1.08,0.926,0.605,1.308,
E,,0.181,0.301,0.239,0.332,0.391,0.336,0.207,0.317,0.298,0.209,
F,,0.155,0.162,0.136,0.153,0.18,0.173,0.172,0.181,0.196,0.273,
G,,0.182,0.235,0.275,0.217,0.215,0.231,0.272,0.275,0.28,0.331,
H,,,,,,,,,,,,
