,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.275,0.277,0.38,0.444,0.354,0.375,0.306,0.471,0.366,0.257,
C,,0.571,0.312,0.47,0.523,0.42,0.429,0.428,0.457,0.567,0.36,
D,,0.607,0.608,0.47,0.592,0.347,0.541,0.434,0.631,0.571,0.294,
E,,0.499,0.452,0.262,0.28,0.269,0.34,0.316,0.432,0.314,0.227,
F,,0.267,0.258,0.257,0.252,0.263,0.3,0.267,0.333,0.211,0.247,
G,,0.316,0.323,0.293,0.297,0.307,0.339,0.323,0.331,0.248,0.352,
H,,,,,,,,,,,,
