,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.633,0.588,0.435,0.708,0.718,0.648,0.488,0.616,0.748,0.506,
C,,0.6,0.62,0.508,0.676,0.657,0.628,0.479,0.615,0.821,0.586,
D,,0.721,0.661,0.55,0.788,0.683,0.709,0.63,0.712,0.936,0.683,
E,,0.731,0.553,0.522,0.667,0.606,0.727,0.576,0.659,0.763,0.654,
F,,0.264,0.295,0.272,0.276,0.263,0.394,0.388,0.408,0.435,0.369,
G,,0.312,0.355,0.391,0.373,0.301,0.405,0.292,0.395,0.42,0.282,
H,,,,,,,,,,,,
